# STATION: KATL,,
# STATION NAME: Atlanta, Hartsfield - Jackson Atlanta International Airport,
# LATITUDE: 33.64028,,
# LONGITUDE: -84.42694,,
# ELEVATION [ft]: 1027,,
# STATE: GA,,
Station_ID,Date_Time,cloud_layer_2_code_set_1
,,code
KATL,01/03/2017 10:40 EST,303
KATL,01/03/2017 10:45 EST,323
KATL,01/03/2017 10:48 EST,323
KATL,01/03/2017 10:50 EST,323
KATL,01/03/2017 10:52 EST,323
KATL,01/03/2017 10:55 EST,324
KATL,01/03/2017 10:56 EST,323
KATL,01/03/2017 11:05 EST,323
KATL,01/03/2017 11:10 EST,323
KATL,01/03/2017 11:15 EST,323
KATL,01/03/2017 11:20 EST,323
KATL,01/03/2017 11:25 EST,323
KATL,01/03/2017 11:30 EST,323
KATL,01/03/2017 11:35 EST,323
KATL,01/03/2017 11:40 EST,323
KATL,01/03/2017 11:45 EST,323
KATL,01/03/2017 11:50 EST,
KATL,01/03/2017 11:52 EST,323
KATL,01/03/2017 11:55 EST,203
KATL,01/03/2017 11:59 EST,203
KATL,01/03/2017 12:00 EST,203
KATL,01/03/2017 12:05 EST,203
KATL,01/03/2017 12:10 EST,203
KATL,01/03/2017 12:15 EST,203
KATL,01/03/2017 12:20 EST,203
KATL,01/03/2017 12:25 EST,203
KATL,01/03/2017 12:30 EST,203
KATL,01/03/2017 12:35 EST,203
KATL,01/03/2017 12:40 EST,203
KATL,01/03/2017 12:45 EST,203
KATL,01/03/2017 12:50 EST,202
KATL,01/03/2017 12:52 EST,202
KATL,01/03/2017 12:55 EST,273
KATL,01/03/2017 12:59 EST,273
KATL,01/03/2017 13:00 EST,273
KATL,01/03/2017 13:05 EST,273
KATL,01/03/2017 13:10 EST,273
KATL,01/03/2017 13:15 EST,
KATL,01/03/2017 13:20 EST,
KATL,01/03/2017 13:25 EST,
KATL,01/03/2017 13:30 EST,273
KATL,01/03/2017 13:35 EST,273
KATL,01/03/2017 13:40 EST,273
KATL,01/03/2017 13:45 EST,273
KATL,01/03/2017 13:50 EST,353
KATL,01/03/2017 13:52 EST,353
KATL,01/03/2017 13:55 EST,
KATL,01/03/2017 14:00 EST,
KATL,01/03/2017 14:05 EST,352
KATL,01/03/2017 14:10 EST,352
KATL,01/03/2017 14:15 EST,332
KATL,01/03/2017 14:20 EST,333
KATL,01/03/2017 14:25 EST,303
KATL,01/03/2017 14:30 EST,303
KATL,01/03/2017 14:35 EST,303
KATL,01/03/2017 14:40 EST,303
KATL,01/03/2017 14:45 EST,303
KATL,01/03/2017 14:50 EST,303
KATL,01/03/2017 14:52 EST,303
KATL,01/03/2017 14:55 EST,262
KATL,01/03/2017 15:00 EST,303
KATL,01/03/2017 15:05 EST,303
KATL,01/03/2017 15:10 EST,303
KATL,01/03/2017 15:15 EST,303
KATL,01/03/2017 15:20 EST,303
KATL,01/03/2017 15:25 EST,303
KATL,01/03/2017 15:30 EST,303
KATL,01/03/2017 15:35 EST,303
KATL,01/03/2017 15:40 EST,303
KATL,01/03/2017 15:45 EST,303
KATL,01/03/2017 15:50 EST,353
KATL,01/03/2017 15:52 EST,353
KATL,01/03/2017 15:55 EST,354
KATL,01/03/2017 16:00 EST,282
KATL,01/03/2017 16:05 EST,353
KATL,01/03/2017 16:10 EST,302
KATL,01/03/2017 16:15 EST,343
KATL,01/03/2017 16:20 EST,343
KATL,01/03/2017 16:25 EST,313
KATL,01/03/2017 16:27 EST,353
KATL,01/03/2017 16:30 EST,
KATL,01/03/2017 16:35 EST,352
KATL,01/03/2017 16:37 EST,352
KATL,01/03/2017 16:40 EST,352
KATL,01/03/2017 16:45 EST,352
KATL,01/03/2017 16:50 EST,
KATL,01/03/2017 16:52 EST,2503
KATL,01/03/2017 16:55 EST,
KATL,01/03/2017 17:00 EST,
KATL,01/03/2017 17:05 EST,
KATL,01/03/2017 17:10 EST,
